sample_name,Class,injection_order,PCB_ID,tube_barcode,animal_number,prep_batch,prep_order,test_substance,Sex,Sex_binary,dose_group,biol_rep,pqn_coeff
RP04_TS3_DG1_m_rep05_035_pp,Sample,219,X35,12391829,35,2,103,3,M,2,1,5,0.941847055
RP04_isQC61_pp,QC,220,RP04_isQC61_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.972344461
RP04_TS3_DG2_m_rep05_040_pp,Sample,221,X40,12391834,40,2,91,3,M,2,2,5,0.923832379
RP04_TS4_DG2_m_rep05_050_pp,Sample,222,X50,12391844,50,2,100,4,M,2,2,5,0.819588836
RP04_TS8_DG2_m_rep05_080_pp,Sample,223,X80,12391874,80,2,108,8,M,2,2,5,0.949734529
RP04_TS7_DG2_m_rep05_070_pp,Sample,224,X70,12391864,70,2,96,7,M,2,2,5,0.906231592
RP04_TS7_DG1_m_rep05_065_pp,Sample,225,X65,12391859,65,2,107,7,M,2,1,5,0.940924334
RP04_isQC62_pp,QC,226,RP04_isQC62_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.997276946
RP04_TS8_DG1_m_rep05_075_pp,Sample,227,X75,12391869,75,2,104,8,M,2,1,5,0.935392077
RP04_TS9_DG1_m_rep05_085_pp,Sample,228,X85,12391879,85,2,95,9,M,2,1,5,0.919620678
RP04_TS1_DG2_m_rep05_020_pp,Sample,229,X20,12391814,20,2,94,1,M,2,2,5,0.940473076
RP04_TS5_DG2_m_rep05_060_pp,Sample,230,X60,12391854,60,2,93,5,M,2,2,5,1.019809736
RP04_TS2_DG1_m_rep05_025_pp,Sample,231,X25,12391819,25,2,98,2,M,2,1,5,0.985609123
RP04_isQC63_pp,QC,232,RP04_isQC63_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,1.007793154
RP04_isQC64_pp,QC,233,RP04_isQC64_pp,QC,QC,QC,QC,QC,QC,QC,QC,QC,0.984180117
